"country","iso_country_code","year","civic_activism","se_civicactivism","intergroup_cohesion","se_intergroupcohesion","clubs_and_associations","se_clubsassociations","interpersonal_safety_and_trust","se_safetytrust","gender_equality","se_genderequality","inclusion","se_inclusion"
"Papua New Guinea","PNG","1990",0.3776591,0.0655807,0.6121289,0.0095618,,,,,0.6981856,0.0191725,,
"Papua New Guinea","PNG","1995",0.3668945,0.0739433,0.555766,0.0036731,,,,,0.617907,0.0421735,,
"Papua New Guinea","PNG","2000",0.3909796,0.0360885,0.5559267,0.0035545,,,,,0.6211655,0.0359513,,
"Papua New Guinea","PNG","2005",0.448569,0.0106294,0.5435308,0.010561,,,0.2972104,0.049977,0.7043942,0.0164553,0.4126251,0.0178998
"Papua New Guinea","PNG","2010",0.4359837,0.017257,0.6481351,0.0098602,,,0.2394099,0.0628321,0.7471743,0.0511758,0.3874295,0.0207678
"Paraguay","PRY","1990",0.4432134,0.0202747,0.6731427,0.0040082,,,,,0.7012026,0.0081921,,
"Paraguay","PRY","1995",0.5845477,0.1190136,0.6755757,0.0032457,0.5279575,0.0094341,0.5210704,0.0064337,0.673419,0.0228159,,
"Paraguay","PRY","2000",0.4846661,0.0415758,0.4887381,0.0068627,0.5498202,0.0339476,0.4421917,0.0445842,0.6306437,0.0206959,0.5369826,0.0083831
"Paraguay","PRY","2005",0.5124438,0.0147917,0.5699391,0.0093767,0.6301135,0.1048651,0.3771399,0.0278121,0.7444466,0.0110205,0.4896433,0.0120054
"Paraguay","PRY","2010",0.4976786,0.0192761,0.6719968,0.0103472,0.4867282,0.0452928,0.3989064,0.0203798,0.7996513,0.0476056,0.4739651,0.0162641
"Peru","PER","1990",0.5593396,0.0287112,0.4703426,0.019409,0.5885811,,0.5441303,0.0081362,0.7258694,0.0058224,,
"Peru","PER","1995",0.5336189,0.0215139,0.574402,0.0075942,0.5206654,0.0136825,0.5277603,0.0257389,0.7710649,0.0171252,0.462083,0.0245924
"Peru","PER","2000",0.5343155,0.0252162,0.4808012,0.0077181,0.5164254,0.0160312,0.4491088,0.1020837,0.7183688,0.022115,0.4840864,0.0126567
"Peru","PER","2005",0.5143156,0.0046624,0.4873706,0.006981,0.5121835,0.0394505,0.3709957,0.0795651,0.7478237,0.0057738,0.455568,0.0130744
"Peru","PER","2010",0.519841,0.0179257,0.570774,0.0082515,0.4785526,0.0422735,0.3990653,0.0477594,0.7833621,0.0154166,0.4485003,0.0151824
"Philippines","PHL","1990",0.5144136,0.1038754,0.4605218,0.0061009,0.6512995,0.0101713,0.5471834,0.0178502,0.7176288,0.0139573,,
"Philippines","PHL","1995",0.4818522,0.0780734,0.5697654,0.0080904,0.5354336,0.0507149,0.550185,0.0351932,0.6802527,0.0231051,0.4546247,0.0222914
"Philippines","PHL","2000",0.4860057,0.0353068,0.5141481,0.006746,0.5534261,0.0297934,0.6082328,0.0956728,0.6364726,0.0129308,0.4756812,0.0139315
"Philippines","PHL","2005",0.5055866,0.0243133,0.4607326,0.0082931,0.611494,0.0699725,0.4927362,0.0866692,0.7402169,0.018067,0.4607844,0.0043093
"Philippines","PHL","2010",0.5077696,0.0249103,0.5396392,0.0107199,0.6226564,0.0730877,0.4636088,0.0981022,0.8883527,0.0681763,0.4384687,0.0070773
"Poland","POL","1990",0.548583,0.0114768,,,0.4106464,0.0208993,0.5436191,0.0036704,0.7327611,0.0117254,0.5750198,0.0436556
"Poland","POL","1995",0.5516287,0.0188228,,,0.4637868,0.015406,0.5582939,0.01726,0.7414005,0.0318254,0.4895093,0.0163776
"Poland","POL","2000",0.5079646,0.0349939,,,0.430605,0.03899,0.5736267,0.0383358,0.7643313,0.027521,0.5222644,0.0197448
"Poland","POL","2005",0.5370635,0.0293485,0.6241142,0.0059335,0.3735562,0.0454742,0.4828894,0.0401001,0.7681852,0.0071118,0.5238894,0.0186101
"Poland","POL","2010",0.5465718,0.034296,0.7480145,0.0046098,0.3848938,0.0491279,0.5022666,0.0571936,0.8949388,0.0254095,0.5291207,0.019826
"Portugal","PRT","1990",0.5102969,0.080359,,,0.4065663,,0.5390195,0.0097718,0.7705376,0.0087627,0.7621718,0.0387817
"Portugal","PRT","1995",0.4910733,0.0941049,,,0.4690496,,0.5439644,0.0205305,0.8033282,0.0218171,,
"Portugal","PRT","2000",0.5591289,0.0245409,,,0.4223551,,0.5826333,0.0853216,0.8081086,0.0266172,0.5559213,0.0160259
"Portugal","PRT","2005",0.548879,0.0169924,0.6346456,0.0060026,0.4141894,,0.4800753,0.0544316,0.7719901,0.0063729,0.5750538,0.0167209
"Portugal","PRT","2010",0.5370235,0.0206978,0.7306439,0.0054822,0.4317368,,0.5222979,0.0568777,0.9599463,0.0159577,0.5917207,0.0142643
"Puerto Rico","PRI","1990",,,,,,,,,0.737249,0.0135084,,
"Puerto Rico","PRI","1995",0.6016554,0.038553,,,0.5434962,,,,0.7658457,0.0264166,0.6304135,0.0030303
"Puerto Rico","PRI","2000",,,,,0.5656097,,,,0.7531362,0.0320419,,
"Puerto Rico","PRI","2005",,,,,0.6201737,,,,,,,
"Puerto Rico","PRI","2010",,,,,0.5721368,,,,0.8469659,0.0567454,,
"Qatar","QAT","1990",0.4609149,0.0678341,,,,,,,0.665131,0.0352935,,
"Qatar","QAT","1995",0.4481255,0.0811553,,,,,,,0.6548836,0.0480991,,
"Qatar","QAT","2000",0.5136096,0.1109925,,,,,0.7245455,0.0290896,0.646378,0.0472683,,
"Qatar","QAT","2005",0.5124054,0.065266,0.6487433,0.0079566,,,0.6760228,0.039659,0.664953,0.0234112,,
"Qatar","QAT","2010",0.4954304,0.0651113,0.7525533,0.0068191,,,0.6345245,0.0421391,0.5283622,0.074334,,
"Romania","ROU","1990",0.5031143,0.0027494,0.657378,0.0079256,,,,,0.7649307,0.0101737,0.3897319,0.0268202
"Romania","ROU","1995",0.5120049,0.0135129,0.6957686,0.0058365,0.4737935,0.0854118,0.5362374,0.0136379,0.7276626,0.0235332,0.5255723,0.0266465
"Romania","ROU","2000",0.4966559,0.0318156,0.5583087,7.438E-4,0.4267945,0.072296,0.5355237,0.0496289,0.6781679,0.0343117,0.4554925,0.0049543
"Romania","ROU","2005",0.509927,0.0129974,0.6209809,0.0041578,0.365576,0.1816909,0.4646392,0.0525906,0.750059,0.00508,0.4930806,0.0185912
"Romania","ROU","2010",0.5153555,0.014045,0.742247,0.003374,0.3614621,0.17427,0.4703653,0.0538196,0.808471,0.0235134,0.5020122,0.0196321
"Russian Federation","RUS","1990",0.5951517,0.0608612,0.5933548,0.0154303,0.3344114,0.110613,0.5106854,0.0186015,0.7464891,0.0153793,0.7799551,0.0767141
"Russian Federation","RUS","1995",0.5342589,0.0116534,0.5967749,0.0030736,0.4531551,0.0286352,0.5091299,0.0136001,0.728317,0.0258811,0.5233076,0.0404833
"Russian Federation","RUS","2000",0.525174,0.0342223,0.4820989,0.0161188,0.3755055,0.056074,0.4583504,0.0703252,0.7299734,0.0427521,0.5363293,0.025783
"Russian Federation","RUS","2005",0.5129954,0.0219617,0.5318196,0.0059633,0.3219499,0.0772733,0.3760024,0.0663906,0.7717037,0.0134845,0.491047,0.023445
"Russian Federation","RUS","2010",0.5118088,0.0203006,0.6055821,0.0102209,0.3336848,0.0868881,0.4131508,0.0748993,0.9590303,0.0518631,0.4834866,0.0124049
"Rwanda","RWA","1990",0.3712802,0.0322669,,,,,,,0.6955493,0.0197946,,
"Rwanda","RWA","1995",0.327193,0.045004,,,,,,,0.7401225,0.0473769,,
"Rwanda","RWA","2000",0.3984534,0.0135643,,,,,,,0.6489115,0.0557649,,
"Rwanda","RWA","2005",0.4446586,9.685E-4,0.5514911,0.0087379,0.5900332,,0.4086471,0.0964362,0.7431385,0.0231184,0.442253,0.0202636
"Rwanda","RWA","2010",0.4572337,0.0131577,0.6208717,0.0079021,0.4895697,,0.4865087,0.0566177,0.8261798,0.0861387,0.4456492,0.0274514
"Samoa","WSM","1990",,,,,,,,,0.7237418,0.0205869,,
"Samoa","WSM","1995",,,,,,,,,,,,
"Samoa","WSM","2000",0.5323734,0.1160881,,,,,,,0.6629786,0.0268538,,
"Samoa","WSM","2005",0.5448528,0.0564357,,,,,,,0.7222306,0.0120026,,
"Samoa","WSM","2010",0.54961,0.0629969,,,,,,,0.78466,0.0494219,,
"San Marino","SMR","1990",,,,,,,,,,,,
"San Marino","SMR","1995",,,,,,,,,,,,
"San Marino","SMR","2000",,,,,,,,,,,,
"San Marino","SMR","2005",,,,,,,,,,,,
"San Marino","SMR","2010",,,,,,,,,0.8963985,0.0597584,,
"Sao Tome and Principe","STP","1990",0.4010956,0.0772015,,,,,,,,,,
"Sao Tome and Principe","STP","1995",0.3666164,0.0952687,,,,,,,,,,
"Sao Tome and Principe","STP","2000",0.4551835,0.095302,,,,,,,0.590384,0.0115748,,
"Sao Tome and Principe","STP","2005",0.4711603,0.0645898,,,,,,,0.7001304,0.0068477,,
"Sao Tome and Principe","STP","2010",0.4589002,0.0877937,,,,,,,0.6738346,0.0162673,,
